strategy,n_removed,seed_reach_share,largest_wcc
priority,0,1.0,1877
priority,5,0.9875403784033225,1850
priority,10,0.9801568989386248,1837
priority,20,0.9446239040147669,1766
priority,23,0.9423165666820489,1759
priority,50,0.8500230733733272,1574
betweenness,0,1.0,1877
betweenness,5,0.9113982464236271,1700
betweenness,10,0.8587909552376557,1605
betweenness,20,0.7738809413936317,1456
betweenness,23,0.7540378403322566,1441
betweenness,50,0.6229810798338717,1240
out_deg,0,1.0,1877
out_deg,5,0.830179972311952,1650
out_deg,10,0.7581910475311491,1548
out_deg,20,0.6585140747577296,1369
out_deg,23,0.6349792339640056,1329
out_deg,50,0.49192431933548686,1045
in_deg,0,1.0,1877
in_deg,5,0.9547761882787263,1790
in_deg,10,0.9293954776188279,1741
in_deg,20,0.8694047069681587,1640
in_deg,23,0.8615597600369174,1623
in_deg,50,0.7508075680664513,1396
random,0,1.0,1877
random,5,0.9418550992155053,1871
random,10,0.9270881402861099,1844
random,20,0.9224734656206738,1834
random,23,0.9197046608214121,1828
random,50,0.8569450853714813,1695
all_seeds,81,0.0,1524
